epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6574,1.41236,3.70118,1.48168,0.5091,0.34553,0.14733,0.11056,1.00087,2.29942,1.14288,0.000150423,0.000150423,0.000150423
2,31.7386,1.16215,2.54602,1.27336,0.45032,0.43043,0.2622,0.18473,1.10572,1.85456,1.18808,0.000299099,0.000299099,0.000299099
3,49.349,1.03612,2.15165,1.18658,0.2937,0.45295,0.25808,0.19717,0.80451,1.91165,1.07533,0.000444772,0.000444772,0.000444772
4,64.3088,0.98016,1.96163,1.15031,0.40151,0.53494,0.33947,0.27247,0.74575,1.65911,1.02625,0.000441486,0.000441486,0.000441486
5,78.5571,0.92828,1.8145,1.12963,0.39286,0.5487,0.43692,0.35315,0.7006,1.4632,1.01416,0.000436982,0.000436982,0.000436982
6,96.2461,0.90872,1.70337,1.11441,0.48144,0.52766,0.45497,0.36643,0.73398,1.3892,1.01471,0.000432478,0.000432478,0.000432478
7,110.079,0.86816,1.58922,1.09465,0.35898,0.61378,0.47859,0.38876,0.7073,1.49113,1.02752,0.000427973,0.000427973,0.000427973
8,123.514,0.85826,1.51757,1.1,0.34325,0.66664,0.5024,0.40862,0.7147,1.34179,1.03055,0.000423468,0.000423468,0.000423468
9,136.941,0.8442,1.42838,1.07824,0.44479,0.64638,0.511,0.41809,0.70803,1.31572,1.02841,0.000418964,0.000418964,0.000418964
10,151.484,0.81634,1.3462,1.06598,0.55072,0.60376,0.59366,0.4822,0.72892,1.18375,1.04664,0.00041446,0.00041446,0.00041446
11,165.39,0.8123,1.28893,1.06737,0.52572,0.61975,0.60126,0.50015,0.74741,1.17346,1.05153,0.000409955,0.000409955,0.000409955
12,179.403,0.80377,1.22443,1.06425,0.48403,0.63407,0.59619,0.50174,0.68379,1.19205,1.01636,0.000405451,0.000405451,0.000405451
13,193.009,0.79898,1.1893,1.05973,0.52114,0.64138,0.61474,0.50341,0.72798,1.1215,1.04126,0.000400946,0.000400946,0.000400946
14,208.595,0.77709,1.12797,1.04821,0.5556,0.63456,0.67781,0.56406,0.71672,1.07744,1.02563,0.000396441,0.000396441,0.000396441
15,222.211,0.77936,1.09453,1.04597,0.5437,0.63496,0.65526,0.54821,0.69037,1.12998,1.01853,0.000391937,0.000391937,0.000391937
16,236.021,0.7708,1.06568,1.04674,0.52555,0.66716,0.6151,0.49527,0.7605,1.23126,1.04113,0.000387433,0.000387433,0.000387433
17,249.696,0.76439,1.02728,1.04438,0.52627,0.65966,0.64764,0.53799,0.69322,1.15233,1.01769,0.000382928,0.000382928,0.000382928
18,263.373,0.75377,0.98264,1.02899,0.60159,0.6554,0.65097,0.54312,0.69161,1.05712,1.02069,0.000378423,0.000378423,0.000378423
19,278.078,0.74794,0.96589,1.03599,0.49513,0.71756,0.61893,0.51327,0.68282,1.25851,1.01864,0.000373919,0.000373919,0.000373919
20,291.486,0.75357,0.94588,1.03579,0.4507,0.72455,0.60374,0.49937,0.72482,1.43382,1.03933,0.000369415,0.000369415,0.000369415
21,305.175,0.74103,0.93367,1.02811,0.5884,0.66989,0.64003,0.53467,0.67606,1.05895,1.0285,0.00036491,0.00036491,0.00036491
22,318.887,0.7286,0.90349,1.02412,0.50499,0.70203,0.64205,0.53629,0.68631,1.14561,1.02126,0.000360406,0.000360406,0.000360406
23,333.582,0.71767,0.86634,1.02104,0.64863,0.58347,0.65443,0.5422,0.70198,1.01308,1.02593,0.000355901,0.000355901,0.000355901
24,347.279,0.71314,0.83843,1.01343,0.59894,0.57119,0.60954,0.51265,0.69877,1.16066,1.01492,0.000351396,0.000351396,0.000351396
25,361.139,0.70757,0.81536,1.00712,0.51821,0.69444,0.62351,0.5214,0.69764,1.09587,1.01411,0.000346892,0.000346892,0.000346892
26,376.469,0.71587,0.84334,1.02081,0.63501,0.61046,0.6346,0.52579,0.71239,1.10009,1.02987,0.000342387,0.000342387,0.000342387
27,390.266,0.70414,0.7994,1.01731,0.50705,0.64757,0.61197,0.50671,0.70877,1.31086,1.02628,0.000337883,0.000337883,0.000337883
28,404.009,0.70218,0.80702,1.01087,0.49501,0.73152,0.64924,0.53896,0.7166,1.1092,1.02953,0.000333379,0.000333379,0.000333379
29,417.564,0.69388,0.77544,1.00372,0.6422,0.64379,0.6597,0.5491,0.68388,1.01052,1.00029,0.000328874,0.000328874,0.000328874
30,432.02,0.7043,0.7635,1.00884,0.55369,0.74114,0.67892,0.56906,0.69266,1.06007,1.02323,0.000324369,0.000324369,0.000324369
31,446.607,0.69252,0.755,1.00451,0.59197,0.64916,0.65369,0.54495,0.69872,1.05098,1.03477,0.000319865,0.000319865,0.000319865
32,461.261,0.68188,0.7441,1.00039,0.588,0.72623,0.68262,0.57203,0.69988,0.98745,1.03035,0.00031536,0.00031536,0.00031536
33,476.032,0.67216,0.71532,1.00175,0.66309,0.5706,0.66154,0.55439,0.69086,0.96773,1.014,0.000310856,0.000310856,0.000310856
34,490.31,0.67463,0.72267,0.99515,0.58296,0.71577,0.67682,0.55829,0.70478,1.06015,1.03572,0.000306351,0.000306351,0.000306351
35,504.717,0.66642,0.70869,0.99403,0.53491,0.67118,0.63326,0.52823,0.6853,1.10483,1.01978,0.000301847,0.000301847,0.000301847
36,519.599,0.65785,0.69564,0.98374,0.57213,0.65585,0.64465,0.54889,0.68111,1.1288,1.01912,0.000297342,0.000297342,0.000297342
37,534.483,0.65243,0.66459,0.98598,0.52478,0.67657,0.62737,0.52264,0.70383,1.04715,1.03814,0.000292838,0.000292838,0.000292838
38,549.305,0.65527,0.66871,0.98988,0.56433,0.70241,0.64568,0.54422,0.68875,1.24897,1.02692,0.000288333,0.000288333,0.000288333
39,564.004,0.63458,0.66286,0.98249,0.51259,0.6551,0.6335,0.532,0.70696,1.11569,1.04268,0.000283829,0.000283829,0.000283829
40,577.993,0.64245,0.65204,0.97543,0.53781,0.75217,0.65956,0.55193,0.6884,1.12384,1.02874,0.000279325,0.000279325,0.000279325
41,591.396,0.63315,0.6378,0.98085,0.61331,0.63751,0.67019,0.56227,0.67256,1.11108,1.02588,0.00027482,0.00027482,0.00027482
42,605.236,0.62685,0.62731,0.97313,0.50638,0.75151,0.65129,0.54473,0.66856,1.08469,1.02799,0.000270316,0.000270316,0.000270316
43,621.316,0.61873,0.61249,0.96804,0.62455,0.61172,0.66162,0.54882,0.71647,1.01687,1.04112,0.000265811,0.000265811,0.000265811
44,635.865,0.61303,0.61226,0.96823,0.55753,0.67679,0.66509,0.55706,0.67137,1.05499,1.02655,0.000261307,0.000261307,0.000261307
45,651.178,0.62196,0.59741,0.96996,0.52825,0.69428,0.64515,0.53427,0.69307,1.13371,1.0396,0.000256802,0.000256802,0.000256802
46,666.033,0.60595,0.59467,0.96092,0.61477,0.62458,0.65095,0.54043,0.68843,1.16954,1.04812,0.000252298,0.000252298,0.000252298
47,682.404,0.61692,0.61245,0.97076,0.61724,0.57161,0.62797,0.51873,0.69075,1.12217,1.04168,0.000247793,0.000247793,0.000247793
48,696.283,0.60624,0.58448,0.96162,0.51881,0.72631,0.64266,0.53948,0.67542,1.07505,1.02588,0.000243289,0.000243289,0.000243289
49,709.735,0.6013,0.58412,0.96475,0.59195,0.62737,0.63081,0.53715,0.67073,1.26178,1.03827,0.000238784,0.000238784,0.000238784
50,723.288,0.60248,0.5939,0.96604,0.57911,0.63316,0.64637,0.54313,0.6905,1.14866,1.03325,0.00023428,0.00023428,0.00023428
51,736.804,0.59638,0.58431,0.95946,0.48076,0.71734,0.60596,0.50664,0.67896,1.27902,1.04179,0.000229775,0.000229775,0.000229775
52,750.217,0.59155,0.57502,0.95989,0.48072,0.69105,0.60865,0.50569,0.68711,1.14399,1.03727,0.00022527,0.00022527,0.00022527
53,763.738,0.59099,0.57243,0.95661,0.54496,0.67866,0.62396,0.52609,0.67595,1.10874,1.03056,0.000220766,0.000220766,0.000220766
54,777.178,0.5914,0.56874,0.95362,0.5433,0.68451,0.62451,0.52474,0.68126,1.14626,1.03373,0.000216261,0.000216261,0.000216261
55,790.729,0.5842,0.56668,0.95656,0.57647,0.6765,0.63423,0.53084,0.68669,1.17643,1.03285,0.000211757,0.000211757,0.000211757
56,804.147,0.58157,0.54954,0.95245,0.50023,0.64848,0.62362,0.52085,0.69401,1.13795,1.04738,0.000207252,0.000207252,0.000207252
57,817.581,0.58378,0.56087,0.95675,0.50462,0.70765,0.61775,0.5102,0.68825,1.19228,1.03635,0.000202748,0.000202748,0.000202748
58,831.073,0.57069,0.53439,0.94422,0.52227,0.68085,0.61824,0.51979,0.6824,1.21202,1.041,0.000198244,0.000198244,0.000198244
59,844.455,0.57132,0.54028,0.94495,0.54976,0.59542,0.61575,0.51181,0.6991,1.22617,1.0474,0.000193739,0.000193739,0.000193739
60,858.174,0.56728,0.52035,0.94186,0.54034,0.71511,0.61749,0.51767,0.68917,1.26525,1.04137,0.000189235,0.000189235,0.000189235
61,871.996,0.57154,0.53638,0.95379,0.53967,0.70025,0.63141,0.51897,0.70185,1.21876,1.04904,0.00018473,0.00018473,0.00018473
62,885.787,0.56479,0.5305,0.94742,0.56779,0.68437,0.62224,0.52092,0.69174,1.15979,1.03566,0.000180226,0.000180226,0.000180226
63,899.467,0.56,0.52539,0.94048,0.56202,0.63753,0.6313,0.52891,0.68206,1.09395,1.0401,0.000175721,0.000175721,0.000175721
64,912.943,0.5514,0.51908,0.93971,0.53764,0.64587,0.6366,0.53552,0.69548,1.19022,1.04402,0.000171217,0.000171217,0.000171217
65,926.602,0.54246,0.51598,0.93478,0.5963,0.62831,0.64199,0.53802,0.69247,1.26166,1.05875,0.000166712,0.000166712,0.000166712
